YM_ID|B_EMD_CD|OCR_CNT|DEATH_CNT|INJURY_CNT|ETL_TYPE|ETL_DATE
200708|3020011500|0|0|0|0601|2012-03-21 17:53:44
200710|3020011500|0|0|0|0601|2012-03-21 17:53:44
200712|3020011500|0|0|0|0601|2012-03-21 17:53:44
200702|3020010700|0|0|0|0601|2012-03-21 17:53:44
200704|3020010700|0|0|0|0601|2012-03-21 17:53:44
200706|3020010700|0|0|0|0601|2012-03-21 17:53:44
200708|3020010700|0|0|0|0601|2012-03-21 17:53:44
200710|3020010700|0|0|0|0601|2012-03-21 17:53:44
200712|3020010700|1|0|1|0601|2012-03-21 17:53:44
200702|3020014700|1|0|1|0601|2012-03-21 17:53:44
200704|3020014700|2|0|2|0601|2012-03-21 17:53:44
200706|3020014700|3|1|3|0601|2012-03-21 17:53:44
200708|3020014700|3|0|8|0601|2012-03-21 17:53:44
200710|3020014700|0|0|0|0601|2012-03-21 17:53:44
200712|3020014700|4|0|6|0601|2012-03-21 17:53:44
200702|3020015100|0|0|0|0601|2012-03-21 17:53:44
200704|3020015100|0|0|0|0601|2012-03-21 17:53:44
200706|3020015100|0|0|0|0601|2012-03-21 17:53:44
200708|3020015100|0|0|0|0601|2012-03-21 17:53:44
200710|3020015100|0|0|0|0601|2012-03-21 17:53:44
200712|3020015100|0|0|0|0601|2012-03-21 17:53:44
200702|3020012500|2|0|2|0601|2012-03-21 17:53:44
200704|3020012500|3|0|6|0601|2012-03-21 17:53:44
200706|3020012500|2|0|2|0601|2012-03-21 17:53:44
200708|3020012500|2|0|3|0601|2012-03-21 17:53:44
200710|3020012500|2|0|7|0601|2012-03-21 17:53:44
200712|3020012500|4|0|8|0601|2012-03-21 17:53:44
200702|3020013700|0|0|0|0601|2012-03-21 17:53:44
200704|3020013700|0|0|0|0601|2012-03-21 17:53:44
200706|3020013700|1|0|3|0601|2012-03-21 17:53:44
200708|3020013700|1|1|0|0601|2012-03-21 17:53:44
200710|3020013700|0|0|0|0601|2012-03-21 17:53:44
200712|3020013700|0|0|0|0601|2012-03-21 17:53:44
200702|3020012300|1|0|2|0601|2012-03-21 17:53:44
200704|3020012300|1|0|1|0601|2012-03-21 17:53:44
200706|3020012300|0|0|0|0601|2012-03-21 17:53:44
200708|3020012300|1|0|1|0601|2012-03-21 17:53:44
200710|3020012300|2|0|4|0601|2012-03-21 17:53:44
200712|3020012300|1|0|2|0601|2012-03-21 17:53:44
200702|3020013800|0|0|0|0601|2012-03-21 17:53:44
200704|3020013800|0|0|0|0601|2012-03-21 17:53:44
200706|3020013800|0|0|0|0601|2012-03-21 17:53:44
200708|3020013800|0|0|0|0601|2012-03-21 17:53:44
200710|3020013800|0|0|0|0601|2012-03-21 17:53:44
200712|3020013800|0|0|0|0601|2012-03-21 17:53:44
200702|3011012400|0|0|0|0601|2012-03-21 17:53:44
200704|3011012400|1|0|1|0601|2012-03-21 17:53:44
200706|3011012400|0|0|0|0601|2012-03-21 17:53:44
200708|3011012400|0|0|0|0601|2012-03-21 17:53:44
200710|3011012400|0|0|0|0601|2012-03-21 17:53:44
200712|3011012400|0|0|0|0601|2012-03-21 17:53:44
200702|3020014400|1|0|1|0601|2012-03-21 17:53:44
200704|3020014400|2|0|4|0601|2012-03-21 17:53:44
200706|3020014400|0|0|0|0601|2012-03-21 17:53:44
200708|3020014400|1|0|1|0601|2012-03-21 17:53:44
200710|3020014400|0|0|0|0601|2012-03-21 17:53:44
200712|3020014400|0|0|0|0601|2012-03-21 17:53:44
200702|3020010100|3|1|3|0601|2012-03-21 17:53:44
200704|3020010100|2|0|3|0601|2012-03-21 17:53:44
200706|3020010100|0|0|0|0601|2012-03-21 17:53:44
200708|3020010100|2|0|4|0601|2012-03-21 17:53:44
200710|3020010100|1|0|1|0601|2012-03-21 17:53:44
200712|3020010100|4|1|7|0601|2012-03-21 17:53:44
200702|3020011400|0|0|0|0601|2012-03-21 17:53:44
200704|3020011400|1|0|1|0601|2012-03-21 17:53:44
200706|3020011400|0|0|0|0601|2012-03-21 17:53:44
200708|3020011400|1|0|1|0601|2012-03-21 17:53:44
200710|3020011400|0|0|0|0601|2012-03-21 17:53:44
200712|3020011400|0|0|0|0601|2012-03-21 17:53:44
200702|3020014200|0|0|0|0601|2012-03-21 17:53:44
200704|3020014200|1|0|1|0601|2012-03-21 17:53:44
200706|3020014200|3|0|3|0601|2012-03-21 17:53:44
200708|3020014200|0|0|0|0601|2012-03-21 17:53:44
200710|3020014200|0|0|0|0601|2012-03-21 17:53:44
200712|3020014200|0|0|0|0601|2012-03-21 17:53:44
200702|3020013400|0|0|0|0601|2012-03-21 17:53:44
200704|3020013400|2|0|2|0601|2012-03-21 17:53:44
200706|3020013400|0|0|0|0601|2012-03-21 17:53:44
200708|3020013400|0|0|0|0601|2012-03-21 17:53:44
200710|3020013400|0|0|0|0601|2012-03-21 17:53:44
200712|3020013400|0|0|0|0601|2012-03-21 17:53:44
200702|3020011700|3|0|8|0601|2012-03-21 17:53:44
200704|3020011700|8|0|20|0601|2012-03-21 17:53:44
200706|3020011700|1|1|0|0601|2012-03-21 17:53:44
200708|3020011700|1|0|1|0601|2012-03-21 17:53:44
200710|3020011700|1|0|2|0601|2012-03-21 17:53:44
200712|3020011700|5|0|6|0601|2012-03-21 17:53:44
200702|3020012800|1|0|1|0601|2012-03-21 17:53:44
200704|3020012800|2|0|3|0601|2012-03-21 17:53:44
200706|3020012800|1|0|3|0601|2012-03-21 17:53:44
200708|3020012800|0|0|0|0601|2012-03-21 17:53:44
200710|3020012800|0|0|0|0601|2012-03-21 17:53:44
200712|3020012800|0|0|0|0601|2012-03-21 17:53:44
200702|3020014100|2|0|2|0601|2012-03-21 17:53:44
200704|3020014100|5|0|6|0601|2012-03-21 17:53:44
200706|3020014100|4|0|8|0601|2012-03-21 17:53:44
200708|3020014100|2|0|3|0601|2012-03-21 17:53:44
200710|3020014100|2|0|4|0601|2012-03-21 17:53:44
200712|3020014100|2|0|3|0601|2012-03-21 17:53:44
200702|3020012100|0|0|0|0601|2012-03-21 17:53:44
200704|3020012100|1|0|1|0601|2012-03-21 17:53:44
200706|3020012100|0|0|0|0601|2012-03-21 17:53:44
200708|3020012100|0|0|0|0601|2012-03-21 17:53:44
200710|3020012100|0|0|0|0601|2012-03-21 17:53:44
200712|3020012100|1|0|1|0601|2012-03-21 17:53:44
200702|3020012000|1|0|1|0601|2012-03-21 17:53:44
200704|3020012000|1|0|1|0601|2012-03-21 17:53:44
200706|3020012000|1|0|1|0601|2012-03-21 17:53:44
200708|3020012000|1|0|2|0601|2012-03-21 17:53:44
200710|3020012000|3|0|12|0601|2012-03-21 17:53:44
200712|3020012000|0|0|0|0601|2012-03-21 17:53:44
200702|3020014300|0|0|0|0601|2012-03-21 17:53:44
200704|3020014300|0|0|0|0601|2012-03-21 17:53:44
200706|3020014300|1|0|3|0601|2012-03-21 17:53:44
200708|3020014300|0|0|0|0601|2012-03-21 17:53:44
200710|3020014300|1|0|1|0601|2012-03-21 17:53:44
200712|3020014300|0|0|0|0601|2012-03-21 17:53:44
200702|3020013200|0|0|0|0601|2012-03-21 17:53:44
200704|3020013200|0|0|0|0601|2012-03-21 17:53:44
200706|3020013200|0|0|0|0601|2012-03-21 17:53:44
200708|3020013200|0|0|0|0601|2012-03-21 17:53:44
200710|3020013200|0|0|0|0601|2012-03-21 17:53:44
200712|3020013200|2|0|4|0601|2012-03-21 17:53:44
200702|3020010500|0|0|0|0601|2012-03-21 17:53:44
200704|3020010500|0|0|0|0601|2012-03-21 17:53:44
200706|3020010500|0|0|0|0601|2012-03-21 17:53:44
