행정구,승객수,기준_날짜,시군구
11020,426812,20220414,중구
11020,448707,20220415,중구
11020,295789,20220416,중구
11020,219174,20220417,중구
11020,417430,20220418,중구
11020,433974,20220419,중구
11020,441461,20220420,중구
11020,440415,20220421,중구
11020,446596,20220422,중구
11020,297515,20220423,중구
11020,207687,20220424,중구
11020,428051,20220425,중구
11020,39334,20220426,중구
11020,462831,20220427,중구
11020,462247,20220428,중구
11020,477776,20220429,중구
11020,339294,20220430,중구
11030,92092,20220101,용산구
11030,104252,20220102,용산구
11030,163859,20220103,용산구
11030,171270,20220104,용산구
11030,176151,20220105,용산구
11030,176952,20220106,용산구
11030,184994,20220107,용산구
11030,145196,20220108,용산구
11030,108380,20220109,용산구
11030,175705,20220112,용산구
11030,175189,20220113,용산구
11030,185122,20220114,용산구
11030,148486,20220115,용산구
11030,113528,20220116,용산구
11030,170933,20220117,용산구
11030,176768,20220118,용산구
11030,185717,20220119,용산구
11030,183721,20220120,용산구
11030,193739,20220121,용산구
11030,153449,20220122,용산구
11030,116801,20220123,용산구
11030,173391,20220124,용산구
11030,179000,20220125,용산구
11030,185641,20220126,용산구
11030,182398,20220127,용산구
11030,181036,20220128,용산구
11030,122317,20220129,용산구
11030,94417,20220130,용산구
11030,74411,20220131,용산구
11030,60553,20220201,용산구
11030,85481,20220202,용산구
11030,162802,20220203,용산구
11030,172503,20220204,용산구
11030,127626,20220205,용산구
11030,97916,20220206,용산구
11030,163208,20220207,용산구
11030,168390,20220208,용산구
11030,171727,20220209,용산구
11030,172043,20220210,용산구
11030,177517,20220211,용산구
11030,137992,20220212,용산구
11030,105224,20220213,용산구
11030,164384,20220214,용산구
11030,166521,20220215,용산구
11030,164656,20220216,용산구
11030,162102,20220217,용산구
11030,163637,20220224,용산구
11030,176113,20220225,용산구
11030,131125,20220226,용산구
11030,109404,20220227,용산구
11030,163165,20220228,용산구
11030,107516,20220301,용산구
11030,170305,20220302,용산구
11030,169762,20220303,용산구
11030,174134,20220304,용산구
11030,138000,20220305,용산구
11030,103284,20220306,용산구
11030,161320,20220307,용산구
11030,171017,20220308,용산구
11030,115349,20220309,용산구
11030,164746,20220310,용산구
11030,177058,20220311,용산구
11030,140723,20220312,용산구
11030,92016,20220313,용산구
11030,163474,20220315,용산구
11030,165758,20220316,용산구
11030,163012,20220317,용산구
11030,172942,20220318,용산구
11030,126136,20220319,용산구
11030,107486,20220320,용산구
11030,160616,20220321,용산구
11030,165616,20220322,용산구
11030,165007,20220323,용산구
11030,168622,20220324,용산구
11030,180318,20220325,용산구
11030,139900,20220326,용산구
11030,116626,20220327,용산구
11030,166663,20220328,용산구
11030,172294,20220329,용산구
11030,170204,20220330,용산구
11030,175881,20220331,용산구
11030,192595,20220401,용산구
11030,163498,20220402,용산구
11030,123639,20220403,용산구
