일자,통행량,읍면동,행정동코드,시군구,행정구코드
20220102,28333,평창동,1101056,종로구,11010
20220102,48529,풍납동,1124051,송파구,11240
20220102,106303,한남동,1103074,용산구,11030
20220102,98310,합정동,1114068,마포구,11140
20220102,57120,홍은동,1113066,서대문구,11130
20220102,29807,화곡동,1116055,강서구,11160
20220102,27719,황학동,1102067,중구,11020
20220102,6270,회현동1가,1102054,중구,11020
20220103,196738,가산동,1118051,금천구,11180
20220103,65689,개봉동,1117064,구로구,11170
20220103,266430,방화동,1116070,강서구,11160
20220103,187080,고덕동,1125055,강동구,11250
20220103,108830,공릉동,1111056,노원구,11110
20220103,22571,공항동,1116069,강서구,11160
20220103,26009,광장동,1105063,광진구,11050
20220103,38584,구산동,1112057,은평구,11120
20220103,62749,논현동,1123052,강남구,11230
20220103,54336,당산동,1119055,영등포구,11190
20220103,32851,대림동,1119070,영등포구,11190
20220103,54033,도곡동,1123066,강남구,11230
20220103,47181,도봉동,1110064,도봉구,11100
20220103,90287,독산동,1118052,금천구,11180
20220103,51667,돈암동,1108058,성북구,11080
20220103,142566,망원동,1114069,마포구,11140
20220103,160562,반포동,1122056,서초구,11220
20220103,77628,방배동,1122061,서초구,11220
20220103,61173,삼성동,1121082,관악구,11210
20220103,179997,상계동,1111065,노원구,11110
20220103,387872,상암동,1114074,마포구,11140
20220103,47721,상일동,1125076,강동구,11250
20220103,315790,서초동,1122051,서초구,11220
20220103,10635,성북동,1108081,성북구,11080
20220103,95672,세곡동,1123076,강남구,11230
20220103,59652,송정동,1104069,성동구,11040
20220103,34752,송파동,1124061,송파구,11240
20220103,0,수색동,1112068,은평구,11120
20220103,46621,숭인동,1101070,종로구,11010
20220103,156979,시흥동,1118057,금천구,11180
20220103,102261,신내동,1107069,중랑구,11070
20220103,56039,신당동,1102065,중구,11020
20220103,42196,신도림동,1117051,구로구,11170
20220103,14413,신림동,1121069,관악구,11210
20220103,163295,신사동,1112065,은평구,11120
20220103,305921,신월동,1115057,양천구,11150
20220103,40697,신정동,1115064,양천구,11150
20220103,0,신촌동,1113075,서대문구,11130
20220103,174566,양재동,1122066,서초구,11220
