자치구 기준일,종로구,종로구 추가,중구,중구 추가,용산구,용산구 추가,성동구,성동구 추가,광진구,광진구 추가,동대문구,동대문구 추가,중랑구,중랑구 추가,성북구,성북구 추가,강북구,강북구 추가,도봉구,도봉구 추가,노원구,노원구 추가,은평구,은평구 추가,서대문구,서대문구 추가,마포구,마포구 추가,양천구,양천구 추가,강서구,강서구 추가,구로구,구로구 추가,금천구,금천구 추가,영등포구,영등포구 추가,동작구,동작구 추가,관악구,관악구 추가,서초구,서추구 추가,강남구,강남구 추가,송파구,송파구 추가,강동구,강동구 추가,기타,기타 추가
20220125,4424,27,4162,33,6108,36,6490,50,8119,121,10473,25,9454,45,10605,76,7335,32,7426,23,11031,124,10628,35,6997,48,8608,45,9101,66,11658,87,11847,44,6447,15,11567,83,9742,67,12802,96,9600,85,14513,165,15446,116,10337,58,19240,122
20220124,4397,39,4129,18,6072,46,6440,51,7998,76,10448,54,9408,39,10529,51,7303,28,7413,47,10907,54,10590,50,6963,68,8563,66,9033,67,11571,68,11803,46,6432,36,11484,57,9675,71,12706,112,9515,71,14348,140,15330,111,10279,71,19101,142
20220123,4358,20,4111,22,6026,50,6389,60,7922,86,10394,59,9369,45,10478,56,7275,32,7366,40,10853,74,10540,69,6895,58,8497,59,8966,64,11503,82,11757,72,6396,34,11427,51,9604,59,12594,106,9444,80,14208,129,15219,97,10208,64,18959,126
20220122,4338,25,4093,39,5976,44,6330,39,7836,72,10335,67,9324,44,10422,45,7243,21,7326,27,10779,85,10471,66,6838,53,8438,62,8902,65,11421,73,11685,42,6362,29,11376,62,9545,60,12488,103,9363,71,14079,117,15122,96,10144,59,18829,125
20220121,4313,17,4054,23,5932,36,6291,49,7764,65,10268,57,9280,38,10377,68,7222,20,7299,27,10694,80,10405,44,6785,41,8376,55,8837,61,11348,85,11643,64,6333,43,11315,59,9485,48,12385,92,9292,84,13962,109,15026,81,10085,48,18704,158
20220120,4296,19,4030,24,5896,34,6242,42,7699,38,10211,48,9242,46,10309,55,7201,28,7274,42,10614,76,10361,46,6759,41,8321,56,8776,57,11263,45,11579,57,6290,32,11256,46,9437,51,12293,84,9208,48,13853,99,14945,92,10037,40,18533,116
20220119,4277,17,4006,25,5862,43,6200,28,7661,46,10163,47,9196,32,10255,46,7173,25,7232,30,10539,51,10315,42,6717,38,8266,41,8719,39,11218,43,11522,47,6258,27,11210,66,9386,46,12209,71,9160,47,13754,95,14853,79,9997,37,18417,123
20220118,4260,10,3990,10,5819,25,6172,16,7628,39,10116,14,9164,14,10209,31,7148,11,7203,18,10489,43,10273,24,6702,25,8224,22,8680,28,11176,36,11475,32,6231,19,11144,24,9340,32,12139,48,9113,37,13659,60,14774,48,9960,22,18249,75
20220117,4250,13,3980,17,5794,32,6156,14,7589,22,10102,26,9150,17,10178,32,7137,26,7185,21,10446,27,10249,20,6677,29,8202,31,8652,37,11140,47,11443,27,6212,25,11120,27,9308,20,12091,34,9076,42,13599,56,14726,47,9938,22,18174,79
20220116,4237,6,3963,14,5762,32,6142,26,7567,33,10076,30,9133,32,10146,50,7111,14,7164,22,10419,43,10229,22,6649,49,8171,38,8615,34,11093,60,11416,39,6187,28,11093,32,9288,29,12057,60,9034,32,13543,55,14679,73,9916,16,18094,56
20220115,4232,17,3950,21,5730,34,6116,30,7535,35,10046,40,9101,38,10096,26,7097,19,7142,23,10376,36,10207,25,6600,47,8133,45,8581,31,11033,40,11377,29,6159,21,11061,30,9259,26,11997,54,9002,37,13488,61,14606,53,9900,21,18038,73
20220114,4215,9,3929,23,5696,30,6086,27,7500,39,10006,44,9063,34,10070,36,7078,32,7119,32,10340,35,10182,29,6554,21,8088,36,8550,30,10993,31,11348,32,6138,21,11031,36,9233,28,11943,47,8965,62,13427,53,14553,52,9879,37,17964,83
20220113,4206,18,3909,18,5666,29,6059,33,7461,35,9962,35,9029,35,10033,36,7046,20,7087,21,10305,36,10153,30,6534,27,8053,32,8520,30,10962,30,11316,58,6117,13,10995,40,9205,34,11896,64,8902,43,13374,83,14501,66,9842,38,17881,74
20220112,4188,12,3897,21,5638,41,6027,19,7474,45,9928,45,8996,33,9996,41,7027,16,7098,25,10265,27,10124,39,6507,41,8021,53,8490,26,10932,45,11258,51,6105,18,10955,39,9171,34,11832,70,8859,61,13293,100,14435,72,9805,46,17718,73
20220111,4179,21,3890,10,5592,22,6008,10,7429,25,9883,35,8963,30,9955,32,7011,21,7073,20,10238,35,10086,24,6424,15,7968,27,8464,33,10887,32,11207,41,6086,13,10915,20,9137,21,11762,32,8797,44,13193,72,14363,41,9759,18,17677,61
20220110,4158,15,3880,22,5570,24,5998,21,7404,29,9848,43,8933,27,9923,40,6990,17,7053,20,10203,28,10062,28,6409,10,7941,26,8431,25,10855,33,11166,46,6073,21,10895,13,9116,24,11730,36,8753,33,13121,48,14322,55,9741,32,17617,65
20220109,4144,20,3863,17,5547,32,5977,17,7375,33,9805,46,8906,33,9883,27,6973,27,7034,24,10175,47,10033,37,6401,29,7915,40,8406,36,10822,29,11121,52,6052,24,10882,33,9092,26,11694,41,8720,40,13072,49,14267,68,9709,48,17547,91
20220108,4124,28,3846,16,5515,24,5960,30,7342,41,9759,39,8873,41,9856,41,6946,21,7010,42,10128,51,9996,26,6372,30,7875,38,8370,29,10793,52,11069,46,6028,25,10849,26,9066,34,11653,52,8680,41,13023,68,14199,49,9661,43,17456,61
20220107,4096,24,3830,23,5491,36,5930,30,7301,34,9720,36,8832,36,9815,39,6925,18,6968,31,10077,44,9970,38,6342,21,7837,37,8341,43,10741,28,11023,51,6003,20,10824,47,9032,44,11601,42,8639,49,12955,74,14150,61,9618,40,17396,92
20220106,4072,16,3807,23,5455,28,5900,33,7267,51,9684,54,8796,57,9776,39,6907,30,6937,32,10033,60,9932,43,6321,35,7800,31,8298,51,10713,48,10972,61,5983,30,10777,58,8988,32,11559,57,8590,47,12881,76,14089,76,9578,57,17304,83
20220105,4056,21,3784,20,5427,39,5867,38,7216,52,9630,66,8740,71,9737,62,6877,33,6905,44,9973,47,9889,63,6286,36,7769,45,8247,82,10665,47,10910,73,5953,36,10719,46,8956,37,11502,49,8543,54,12806,100,14012,79,9521,58,17223,114
20220104,4035,13,3764,17,5388,23,5829,20,7164,28,9564,32,8669,46,9675,48,6844,37,6861,29,9926,47,9826,29,6250,28,7724,34,8165,37,10618,39,10837,38,5917,24,10673,28,8919,35,11453,47,8489,32,12706,57,13933,60,9463,49,17109,61
20220103,4022,12,3747,21,5365,20,5809,34,7136,27,9532,38,8624,42,9627,36,6807,23,6832,33,9879,59,9797,32,6222,37,7690,36,8128,46,10579,32,10799,30,5893,25,10645,35,8884,20,11406,35,8457,41,12649,64,13873,61,9414,45,17051,109
20220102,4010,17,3726,26,5346,35,5775,27,7109,33,9494,36,8582,48,9592,48,6784,45,6799,36,9820,64,9765,53,6185,24,7654,45,8082,48,10547,41,10769,70,5868,33,10610,51,8864,35,11371,58,8416,46,12585,57,13812,82,9369,58,16945,67
20220101,3993,20,3700,29,5311,37,5748,41,7076,34,9459,74,8534,58,9544,56,6739,44,6763,45,9756,88,9712,49,6161,51,7609,39,8034,69,10506,70,10699,79,5835,40,10559,52,8829,38,11313,48,8370,59,12528,76,13730,96,9311,82,16879,90
