차종종별,연료,건수,비율,읍면동,행정동코드,시군구,행정구코드
승용,휘발유,17001,0.07784781583096076,잠원동,1122055,서초구,11220
승용,휘발유,16992,0.07780660470558703,광장동,1105063,광진구,11050
승용,휘발유,16942,0.07757765400906635,압구정동,1123077,강남구,11230
승용,휘발유,16676,0.07635963630357635,대치1동,1123060,강남구,11230
승용,경유,16587,0.07595210406376954,역삼1동,1123064,강남구,11230
승용,휘발유(무연),16512,0.07560867801898853,논현1동,1123052,강남구,11230
승용,휘발유,16500,0.07555372985182357,세곡동,1123076,강남구,11230
승용,휘발유,16490,0.07550793971251943,잠실본동,1124071,송파구,11240
승용,경유,16474,0.07543467548963281,공릉2동,1111056,노원구,11110
승용,경유,16430,0.07523319887669462,서초1동,1122051,서초구,11220
승용,휘발유,16335,0.07479819255330533,잠실본동,1124071,송파구,11240
승용,휘발유(무연),16275,0.07452345171748051,세곡동,1123076,강남구,11230
승용,경유,16271,0.07450513566175887,오류1동,1117067,구로구,11170
승용,경유,16246,0.07439066031349852,목5동,1115071,양천구,11150
승용,경유,16231,0.07432197510454233,가산동,1118051,금천구,11180
승용,휘발유(무연),16205,0.07420292074235157,상도1동,1120053,동작구,11200
승용,휘발유(무연),16153,0.07396481201797007,서초1동,1122051,서초구,11220
승용,휘발유(무연),15987,0.07320469570552142,시흥1동,1118057,금천구,11180
승용,휘발유(무연),15945,0.07301237712044405,등촌1동,1116052,강서구,11160
승용,휘발유(무연),15882,0.07272389924282799,공릉2동,1111056,노원구,11110
승용,휘발유,15835,0.07250868558809856,상도1동,1120053,동작구,11200
승용,휘발유(무연),15742,0.07208283729257009,종암동,1108084,성북구,11080
승용,휘발유(무연),15736,0.07205536320898762,연희동,1113076,서대문구,11130
승용,휘발유,15732,0.07203704715326596,가산동,1118051,금천구,11180
승용,휘발유(무연),15622,0.07153335562092047,상계1동,1111065,노원구,11110
승용,휘발유(무연),15574,0.07131356295226061,묵1동,1107064,중랑구,11070
승용,휘발유(무연),15464,0.07080987141991513,대치1동,1123060,강남구,11230
승용,휘발유,15443,0.07071371212737644,논현1동,1123052,강남구,11230
승용,휘발유,15402,0.07052597255622949,잠실본동,1124071,송파구,11240
승용,휘발유(무연),15397,0.07050307748657743,삼각산동,1109073,강북구,11090
승용,경유,15385,0.07044812931941245,신도림동,1117051,구로구,11170
승용,휘발유,15326,0.07017796749751806,길동,1125074,강동구,11250
승용,경유,15280,0.06996733285671904,상계1동,1111065,노원구,11110
승용,휘발유,15234,0.06975669821592001,방화1동,1116070,강서구,11160
승용,휘발유(무연),15128,0.06927132273929618,잠실본동,1124071,송파구,11240
승용,경유,15031,0.06882715838804607,신내1동,1107069,중랑구,11070
승용,휘발유(무연),15014,0.06874931515122903,구의1동,1105060,광진구,11050
승용,경유,15013,0.06874473613729862,장안1동,1106087,동대문구,11060
승용,휘발유(무연),14989,0.0686348398029687,역촌동,1112074,은평구,11120
승용,휘발유(무연),14905,0.06825020263281395,잠원동,1122055,서초구,11220
승용,휘발유(무연),14901,0.06823188657709231,화곡본동,1116055,강서구,11160
승용,휘발유(무연),14900,0.06822730756316189,개봉2동,1117064,구로구,11170
승용,휘발유(무연),14889,0.06817693840992733,개봉2동,1117064,구로구,11170
승용,경유,14868,0.06808077911738866,논현1동,1123052,강남구,11230
승용,휘발유(무연),14867,0.06807620010345823,구로1동,1117052,구로구,11170
승용,경유,14782,0.06768698391937308,청담동,1123078,강남구,11230
승용,휘발유(무연),14781,0.06768240490544268,양평1동,1119061,영등포구,11190
승용,휘발유,14696,0.06729318872135753,화곡본동,1116055,강서구,11160
승용,경유,14681,0.06722450351240132,양재1동,1122066,서초구,11220
승용,경유,14639,0.06703218492732395,당산1동,1119055,영등포구,11190
승용,경유,14575,0.06673912803577747,대치1동,1123060,강남구,11230
승용,경유,14555,0.06664754775716922,광장동,1105063,광진구,11050
승용,휘발유(무연),14551,0.06662923170144756,성현동,1121079,관악구,11210
승용,휘발유(무연),14526,0.06651475635318722,신정1동,1115064,양천구,11150
승용,휘발유(무연),14525,0.0665101773392568,논현1동,1123052,강남구,11230
승용,휘발유(무연),14490,0.06634991185169233,강일동,1125075,강동구,11250
승용,휘발유(무연),14484,0.06632243776810985,양재1동,1122066,서초구,11220
승용,휘발유(무연),14467,0.06624459453129282,가양1동,1116064,강서구,11160
승용,휘발유(무연),14453,0.06618048833626704,도곡1동,1123066,강남구,11230
승용,휘발유(무연),14435,0.06609806608551959,창4동,1110062,도봉구,11100
승용,경유,14433,0.06608890805765877,발산1동,1116067,강서구,11160
승용,휘발유(무연),14386,0.06587369440292933,월계1동,1111051,노원구,11110
승용,경유,14342,0.06567221778999113,역촌동,1112074,은평구,11120
승용,휘발유(무연),14236,0.0651868423133673,삼성동,1121082,관악구,11210
승용,휘발유(무연),14195,0.06499910274222033,구로1동,1117052,구로구,11170
승용,경유,14118,0.06464651866957849,우장산동,1116074,강서구,11160
승용,휘발유(무연),14084,0.06449083219594443,녹번동,1112051,은평구,11120
승용,휘발유(무연),14075,0.0644496210705707,구로1동,1117052,구로구,11170
승용,휘발유(무연),14059,0.06437635684768409,우장산동,1116074,강서구,11160
승용,휘발유(무연),14019,0.06419319629046755,중계본동,1111060,노원구,11110
승용,경유,14014,0.06417030122081548,시흥1동,1118057,금천구,11180
승용,휘발유(무연),13969,0.06396424559394688,반포본동,1122056,서초구,11220
승용,휘발유(무연),13937,0.06381771714817365,성산1동,1114072,마포구,11140
승용,경유,13850,0.06341934293622767,공덕동,1114077,마포구,11140
승용,휘발유(무연),13829,0.06332318364368897,구산동,1112057,은평구,11120
승용,휘발유(무연),13826,0.06330944660189773,문정1동,1124068,송파구,11240
승용,경유,13818,0.06327281449045442,가산동,1118051,금천구,11180
승용,휘발유(무연),13785,0.06312170703075078,도곡1동,1123066,강남구,11230
승용,휘발유(무연),13773,0.06306675886358581,삼성동,1121082,관악구,11210
승용,휘발유(무연),13768,0.06304386379393376,중계본동,1111060,노원구,11110
승용,경유,13763,0.06302096872428169,잠실본동,1124071,송파구,11240
승용,휘발유(무연),13650,0.06250354015014495,사직동,1101053,종로구,11010
승용,경유,13625,0.06238906480188462,종암동,1108084,성북구,11080
승용,휘발유(무연),13603,0.06228832649541551,자양1동,1105064,광진구,11050
승용,경유,13570,0.06213721903571186,세곡동,1123076,강남구,11230
승용,휘발유(무연),13548,0.06203648072924277,문정1동,1124068,송파구,11240
승용,휘발유(무연),13537,0.06198611157600822,천호1동,1125061,강동구,11250
승용,경유,13535,0.06197695354814739,양재1동,1122066,서초구,11220
승용,휘발유(무연),13526,0.06193574242277367,서초1동,1122051,서초구,11220
승용,경유,13524,0.06192658439491284,목1동,1115051,양천구,11150
승용,휘발유(무연),13515,0.06188537326953911,장지동,1124081,송파구,11240
승용,휘발유,13514,0.06188079425560871,신사1동,1112065,은평구,11120
승용,휘발유,13500,0.06181668806058292,목5동,1115071,양천구,11150
승용,휘발유(무연),13497,0.06180295101879167,장안1동,1106087,동대문구,11060
승용,휘발유(무연),13495,0.06179379299093086,서초1동,1122051,서초구,11220
승용,휘발유,13487,0.06175716087948754,대치1동,1123060,강남구,11230
승용,휘발유(무연),13483,0.06173884482376589,가락본동,1124065,송파구,11240
승용,휘발유,13471,0.06168389665660093,반포본동,1122056,서초구,11220
승용,경유,13469,0.0616747386287401,성산1동,1114072,마포구,11140
승용,휘발유(무연),13458,0.06162436947550555,역삼1동,1123064,강남구,11230
승용,휘발유(무연),13456,0.06161521144764472,청담동,1123078,강남구,11230
승용,휘발유(무연),13444,0.06156026328047976,둔촌1동,1125070,강동구,11250
승용,휘발유(무연),13383,0.06128094343072453,등촌1동,1116052,강서구,11160
승용,휘발유,13378,0.06125804836107247,길음1동,1108066,성북구,11080
화물,경유,13283,0.06082304203768317,잠실본동,1124071,송파구,11240
승용,휘발유(무연),13274,0.06078183091230945,이촌1동,1103063,용산구,11030
승용,경유,13250,0.06067193457797954,상암동,1114074,마포구,11140
승용,휘발유(무연),13228,0.06057119627151043,성수1가1동,1104065,성동구,11040
승용,휘발유,13191,0.06040177275608513,공덕동,1114077,마포구,11140
승용,휘발유(무연),13167,0.06029187642175521,서교동,1114066,마포구,11140
승용,휘발유,13159,0.0602552443103119,서초1동,1122051,서초구,11220
승용,휘발유(무연),13123,0.06009039980881702,방학1동,1110055,도봉구,11100
승용,휘발유,13114,0.06004918868344329,논현1동,1123052,강남구,11230
승용,휘발유(무연),13112,0.06004003065558246,문정1동,1124068,송파구,11240
승용,경유,13108,0.0600217145998608,공릉2동,1111056,노원구,11110
승용,휘발유(무연),13089,0.05993471333518295,잠실본동,1124071,송파구,11240
승용,경유,13028,0.05965539348542772,가락본동,1124065,송파구,11240
승용,휘발유(무연),13006,0.05955465517895862,길동,1125074,강동구,11250
승용,휘발유,13003,0.05954091813716739,공릉2동,1111056,노원구,11110
승용,휘발유,12991,0.05948596997000243,청담동,1123078,강남구,11230
승용,휘발유(무연),12989,0.0594768119421416,미성동,1121083,관악구,11210
승용,휘발유,12985,0.05945849588641994,장안1동,1106087,동대문구,11060
승용,경유,12984,0.05945391687248953,장지동,1124081,송파구,11240
화물,경유,12900,0.05906927970233479,양재1동,1122066,서초구,11220
승용,휘발유,12815,0.05868006351824964,신도림동,1117051,구로구,11170
승용,휘발유(무연),12806,0.05863885239287592,북가좌1동,1113071,서대문구,11130
승용,휘발유(무연),12804,0.05862969436501509,서초1동,1122051,서초구,11220
승용,휘발유,12792,0.05857474619785012,양재1동,1122066,서초구,11220
승용,휘발유,12775,0.0584969029610331,연희동,1113076,서대문구,11130
승용,휘발유(무연),12768,0.05846484986352021,창5동,1110063,도봉구,11100
승용,경유,12768,0.05846484986352021,삼각산동,1109073,강북구,11090
승용,휘발유(무연),12718,0.05823589916699952,용신동,1106081,동대문구,11060
승용,휘발유,12671,0.05802068551227008,세곡동,1123076,강남구,11230
승용,휘발유(무연),12645,0.05790163115007934,도봉1동,1110064,도봉구,11100
승용,경유,12631,0.05783752495505354,묵1동,1107064,중랑구,11070
승용,휘발유(무연),12588,0.05764062735604576,하계1동,1111058,노원구,11110
승용,휘발유(무연),12552,0.05747578285455088,상도1동,1120053,동작구,11200
승용,휘발유(무연),12504,0.05725599018589102,아현동,1114078,마포구,11140
승용,휘발유(무연),12503,0.05725141117196061,공항동,1116069,강서구,11160
승용,휘발유,12495,0.0572147790605173,서초1동,1122051,서초구,11220
승용,휘발유(무연),12473,0.05711404075404821,대치1동,1123060,강남구,11230
승용,휘발유,12407,0.05681182583464091,문정1동,1124068,송파구,11240
승용,경유,12391,0.05673856161175429,대치1동,1123060,강남구,11230
승용,휘발유(무연),12362,0.0566057702077723,석촌동,1124063,송파구,11240
승용,휘발유,12347,0.05653708499881609,당산1동,1119055,영등포구,11190
승용,휘발유,12339,0.05650045288737278,신정1동,1115064,양천구,11150
승용,휘발유(무연),12333,0.05647297880379031,상암동,1114074,마포구,11140
승용,휘발유,12325,0.056436346692347,자양1동,1105064,광진구,11050
화물,경유,12320,0.05641345162269493,양평1동,1119061,영등포구,11190
승용,휘발유,12316,0.05639513556697327,역촌동,1112074,은평구,11120
승용,휘발유,12313,0.05638139852518204,문래동,1119076,영등포구,11190
화물,경유,12250,0.05609292064756598,양평1동,1119061,영등포구,11190
승용,휘발유(무연),12237,0.05603339346647061,풍납1동,1124051,송파구,11240
승용,하이브리드(휘발유+전기),12217,0.05594181318786234,역삼1동,1123064,강남구,11230
승용,휘발유(무연),12213,0.05592349713214068,답십리2동,1106086,동대문구,11060
